residency,applied,admitted,enrolled,selectivity_rate,yield_rate
California resident,"57,660","21,257","4,846",36.90%,22.80%
Other U.S. citizens or permanent residents,"5,475","2,940",243,53.70%,8.30%
International students,"20,150","10,374","1,706",51.50%,16.40%
